folder,file,"cycle time 1 (Tags starting with ""A"")",cycle time 2 (Tags starting with a number),READ1 (seconds),READ2 (seconds)
all_folders/mac,"Default power, round 1, automation reader, 8-6-24.csv",3054,5947,19.83116883116883,38.616883116883116
all_folders/mac,"Default power, round 2, automation reader , 8-6-24.csv",3035,4742,19.20886075949367,30.0126582278481
all_folders/mac,"Power 150,round 1, automation reader, 8-6-24 2.csv",1241,393,7.708074534161491,2.440993788819876
all_folders/mac,"Power level 150, round 2, automation reader, 8-6-24 2.csv",878,291,5.738562091503268,1.9019607843137254
all_folders/mac,"Power level 150, round 3, automation reader, 8-6-24.csv",1050,504,6.862745098039215,3.2941176470588234
all_folders/mac,"Power level 150, round 4, automation reader, 8-6-24 2.csv",1227,302,7.865384615384615,1.935897435897436
all_folders/mac,"Power level 150, round 5, automation reader, 8-6-24.csv",1112,505,7.315789473684211,3.3223684210526314
